0 1 0 0 1 2
0.000461   0.999993 0.00181033          0          1          2
0.000462   0.999993 0.00181426          0          1          2
0.000463   0.999993 0.00181819          0          1          2
0.000464   0.999993 0.00182211          0          1          2
0.000465   0.999993 0.00182604          0          1          2
0.000466   0.999993 0.00182997          0          1          2
0.000467   0.999993 0.00183389          0          1          2
0.000468   0.999993 0.00183782          0          1          2
0.000469   0.999993 0.00184175          0          1          2
0.00047   0.999993 0.00184567          0          1          2
0.000471  0.999993 0.0018496         0         1         2
0.000472   0.999993 0.00185353          0          1          2
0.000473   0.999993 0.00185746          0          1          2
0.000474   0.999993 0.00186138          0          1          2
0.000475   0.999993 0.00186531          0          1          2
0.000476   0.999993 0.00186924          0          1          2
0.000477   0.999993 0.00187316          0          1          2
0.000478   0.999993 0.00187709          0          1          2
0.000479   0.999993 0.00188102          0          1          2
0.00048   0.999993 0.00188494          0          1          2
0.000481   0.999993 0.00188887          0          1          2
0.000482  0.999993 0.0018928         0         1         2
0.000483   0.999993 0.00189672          0          1          2
0.000484   0.999993 0.00190065          0          1          2
0.000485   0.999993 0.00190458          0          1          2
0.000486   0.999993 0.00190851          0          1          2
0.000487   0.999993 0.00191243          0          1          2
0.000488   0.999993 0.00191636          0          1          2
0.000489   0.999993 0.00192029          0          1          2
0.00049   0.999993 0.00192421          0          1          2
0.000491   0.999993 0.00192814          0          1          2
0.000492   0.999993 0.00193207          0          1          2
0.000493   0.999993 0.00193599          0          1          2
0.000494   0.999992 0.00193992          0          1          2
0.000495   0.999992 0.00194385          0          1          2
0.000496   0.999992 0.00194777          0          1          2
0.000497  0.999992 0.0019517         0         1         2
0.000498   0.999992 0.00195563          0          1          2
0.000499   0.999992 0.00195956          0          1          2
0.0005   0.999992 0.00196348          0          1          2
0.000501   0.999992 0.00196741          0          1          2
0.000502   0.999992 0.00197134          0          1          2
0.000503   0.999992 0.00197526          0          1          2
0.000504   0.999992 0.00197919          0          1          2
0.000505   0.999992 0.00198312          0          1          2
0.000506   0.999992 0.00198704          0          1          2
0.000507   0.999992 0.00199097          0          1          2
0.000508  0.999992 0.0019949         0         1         2
0.000509   0.999992 0.00199882          0          1          2
0.00051   0.999992 0.00200275          0          1          2
0.000511   0.999992 0.00200668          0          1          2
0.000512   0.999992 0.00201061          0          1          2
0.000513   0.999992 0.00201453          0          1          2
0.000514   0.999992 0.00201846          0          1          2
0.000515   0.999992 0.00202239          0          1          2
0.000516   0.999992 0.00202631          0          1          2
0.000517   0.999992 0.00203024          0          1          2
0.000518   0.999992 0.00203417          0          1          2
0.000519   0.999992 0.00203809          0          1          2
0.00052   0.999992 0.00204202          0          1          2
0.000521   0.999992 0.00204595          0          1          2
0.000522   0.999992 0.00204987          0          1          2
